mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex
7190-90543-0010_2518-154826-0001_5390-30096-0007_5703-47198-0023_6415-116629-0022,7190.0,M,2518.0,M,5390.0,M,5703.0,M,6415.0,F
8838-298545-0005_6078-54013-0062_669-129061-0082_7402-90848-0022_3664-178355-0000,8838.0,M,6078.0,F,669.0,F,7402.0,M,3664.0,M
2518-154826-0029_1246-124550-0015_441-128982-0010_4267-287369-0012_5750-100289-0006,2518.0,M,1246.0,F,441.0,F,4267.0,M,5750.0,M
4137-11701-0016_5789-70653-0014_125-121124-0023_8419-293469-0025_8051-119902-0036,4137.0,F,5789.0,F,125.0,F,8419.0,M,8051.0,F
4680-16041-0038_2893-139322-0031_909-131041-0023_78-369-0043_4195-186237-0013,4680.0,F,2893.0,M,909.0,M,78.0,M,4195.0,F
4014-186175-0025_6272-70168-0005_5703-47198-0013_405-130894-0050_6064-56165-0031,4014.0,M,6272.0,F,5703.0,M,405.0,M,6064.0,F
1867-154071-0013_7859-102519-0000_8108-280354-0022_6529-62554-0001_8770-295462-0025,1867.0,M,7859.0,F,8108.0,M,6529.0,M,8770.0,M
5393-19219-0015_7302-86815-0016_3857-180923-0027_2289-152253-0003_6081-41997-0032,5393.0,F,7302.0,F,3857.0,M,2289.0,M,6081.0,M
4088-158077-0023_298-126791-0011_3259-158083-0013_374-180298-0000_328-129766-0037,4088.0,F,298.0,F,3259.0,F,374.0,M,328.0,F
1098-133695-0087_5339-14134-0006_233-155990-0017_5652-19215-0062_3168-173565-0020,1098.0,F,5339.0,F,233.0,M,5652.0,F,3168.0,M
1069-133709-0010_460-172359-0087_39-121914-0035_8425-292520-0022_7794-295947-0026,1069.0,F,460.0,M,39.0,F,8425.0,M,7794.0,F
5867-48852-0078_1737-142397-0008_7067-76048-0016_7511-102419-0031_6181-216552-0012,5867.0,F,1737.0,F,7067.0,M,7511.0,F,6181.0,M
3374-298026-0001_625-132112-0012_211-122425-0043_7511-102420-0050_6529-62556-0026,3374.0,M,625.0,M,211.0,F,7511.0,F,6529.0,M
2289-152258-0022_1502-122619-0006_3947-13262-0014_4340-15220-0055_6531-61334-0127,2289.0,M,1502.0,F,3947.0,F,4340.0,F,6531.0,F
5390-30102-0008_248-130644-0009_4397-15666-0026_125-121342-0038_2893-139322-0020,5390.0,M,248.0,F,4397.0,M,125.0,F,2893.0,M
1447-130552-0025_4362-15663-0005_7859-102518-0021_1040-133433-0069_5049-25947-0079,1447.0,F,4362.0,F,7859.0,F,1040.0,M,5049.0,M
1183-133256-0013_39-121916-0018_5789-57195-0006_3259-158083-0103_5163-18515-0026,1183.0,F,39.0,F,5789.0,F,3259.0,F,5163.0,F
458-126290-0012_8838-298545-0042_1743-142913-0014_5322-7679-0038_7635-105661-0020,458.0,M,8838.0,M,1743.0,M,5322.0,M,7635.0,F
1970-26100-0009_7059-88364-0002_4214-7146-0016_5104-33406-0005_7635-105661-0037,1970.0,F,7059.0,F,4214.0,F,5104.0,M,7635.0,F
7635-105409-0038_198-126831-0021_2182-150130-0004_1926-147979-0050_909-131041-0009,7635.0,F,198.0,F,2182.0,F,1926.0,F,909.0,M
5049-25947-0083_27-124992-0039_1737-146161-0000_2436-2481-0017_307-127539-0000,5049.0,M,27.0,M,1737.0,F,2436.0,M,307.0,M
4813-248638-0035_2952-410-0055_7800-283493-0024_6019-3185-0076_5049-25947-0114,4813.0,M,2952.0,M,7800.0,F,6019.0,M,5049.0,M
1235-135884-0022_625-132112-0003_446-123501-0012_3112-9554-0008_6000-86686-0012,1235.0,M,625.0,M,446.0,M,3112.0,F,6000.0,F
4788-91208-0009_289-121652-0022_1898-145724-0025_7859-102519-0047_2416-152137-0010,4788.0,M,289.0,F,1898.0,F,7859.0,F,2416.0,F
1098-133695-0080_4214-7146-0064_87-121553-0014_6476-57446-0040_7226-86964-0027,1098.0,F,4214.0,F,87.0,F,6476.0,F,7226.0,M
