mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
3664-178355-0032_226-122538-0014,3664.0,M,226.0,F
6000-55211-0030_839-130898-0085,6000.0,F,839.0,M
3807-4955-0003_125-121342-0008,3807.0,M,125.0,F
5049-25947-0064_201-122255-0020,5049.0,M,201.0,M
2436-2476-0037_5322-7678-0027,2436.0,M,5322.0,M
403-128339-0029_125-121342-0002,403.0,F,125.0,F
5678-43302-0011_8123-275209-0027,5678.0,M,8123.0,F
1235-135884-0033_4297-13009-0019,1235.0,M,4297.0,F
7226-86965-0032_8747-293952-0015,7226.0,M,8747.0,M
3983-5331-0028_1455-138263-0033,3983.0,F,1455.0,M
5808-48608-0060_1363-135842-0046,5808.0,M,1363.0,F
911-128684-0030_7148-7763-0006,911.0,M,7148.0,F
6081-41998-0022_8770-295463-0014,6081.0,M,8770.0,M
5688-15787-0027_6880-216547-0037,5688.0,F,6880.0,M
831-130739-0055_2002-139469-0053,831.0,M,2002.0,M
3982-178459-0058_83-9960-0025,3982.0,F,83.0,F
7517-100437-0029_7402-90848-0039,7517.0,F,7402.0,M
8580-287363-0020_1040-133433-0076,8580.0,M,1040.0,M
4014-186176-0015_5688-41232-0000,4014.0,M,5688.0,F
4051-11217-0006_3607-29116-0039,4051.0,F,3607.0,M
839-130898-0050_4680-16042-0009,839.0,M,4680.0,F
3214-167607-0032_6209-34600-0033,3214.0,M,6209.0,M
7859-102519-0033_2817-142380-0001,7859.0,F,2817.0,F
27-123349-0024_3235-28433-0015,27.0,M,3235.0,F
6367-74004-0027_201-127786-0019,6367.0,M,201.0,M
2911-12359-0018_5390-24512-0010,2911.0,M,5390.0,M
831-130739-0040_150-126112-0030,831.0,M,150.0,F
7226-86964-0046_5789-57158-0005,7226.0,M,5789.0,F
332-128985-0011_4788-94904-0005,332.0,M,4788.0,M
7113-86041-0093_2159-179154-0008,7113.0,F,2159.0,M
5867-48852-0015_3699-175950-0001,5867.0,F,3699.0,M
7447-91187-0032_5561-41615-0040,7447.0,M,5561.0,F
5463-39173-0059_322-124147-0014,5463.0,M,322.0,F
2436-2481-0015_1963-142393-0048,2436.0,M,1963.0,F
198-126831-0030_7178-34644-0030,198.0,F,7178.0,F
2911-7601-0003_6880-216547-0078,2911.0,M,6880.0,M
233-155990-0005_8630-305212-0023,233.0,M,8630.0,M
4214-7146-0075_8629-261139-0035,4214.0,F,8629.0,M
5561-41615-0026_229-130880-0021,5561.0,F,229.0,M
441-130108-0005_2136-5147-0036,441.0,F,2136.0,M
2910-131096-0077_8629-261140-0019,2910.0,F,8629.0,M
8238-274553-0020_7780-274562-0081,8238.0,F,7780.0,F
8629-261140-0010_1088-129236-0014,8629.0,M,1088.0,F
3723-171631-0016_322-124147-0024,3723.0,M,322.0,F
3830-12530-0017_1069-133699-0030,3830.0,M,1069.0,F
311-124404-0113_4859-29340-0017,311.0,M,4859.0,M
3982-182255-0036_3947-13260-0041,3982.0,F,3947.0,F
3486-166446-0036_200-126784-0028,3486.0,M,200.0,F
669-129074-0006_32-4137-0027,669.0,F,32.0,F
8095-274346-0040_460-172359-0094,8095.0,M,460.0,M
307-127535-0013_625-132112-0022,307.0,M,625.0,M
298-126791-0026_4830-25898-0009,298.0,F,4830.0,M
6437-66173-0025_8063-274117-0032,6437.0,M,8063.0,M
6529-62556-0037_118-47824-0036,6529.0,M,118.0,M
8838-298545-0019_887-123291-0018,8838.0,M,887.0,F
250-142276-0003_60-121082-0048,250.0,F,60.0,M
426-122822-0031_3242-67168-0009,426.0,F,3242.0,M
2391-145015-0109_2691-156745-0022,2391.0,F,2691.0,F
4397-15666-0015_4680-16026-0001,4397.0,M,4680.0,F
211-122442-0058_3982-178459-0013,211.0,F,3982.0,F
328-129766-0063_4640-19188-0015,328.0,F,4640.0,F
6454-93938-0005_3168-173564-0039,6454.0,M,3168.0,M
3664-11714-0012_6272-70168-0006,3664.0,M,6272.0,F
3112-9554-0005_8465-246943-0013,3112.0,F,8465.0,F
6064-56165-0007_3436-172162-0013,6064.0,F,3436.0,M
163-122947-0062_125-121124-0021,163.0,M,125.0,F
7859-102519-0042_6181-216552-0005,7859.0,F,6181.0,M
6529-62554-0030_5750-100289-0060,6529.0,M,5750.0,M
3440-171006-0016_4406-16883-0027,3440.0,F,4406.0,M
1455-138263-0026_1040-133433-0022,1455.0,M,1040.0,M
3440-171009-0021_1263-141777-0023,3440.0,F,1263.0,F
7113-86041-0023_7635-105661-0036,7113.0,F,7635.0,F
211-122442-0044_8629-261139-0022,211.0,F,8629.0,M
3983-5331-0042_1898-145720-0002,3983.0,F,1898.0,F
5808-48608-0026_8014-112602-0013,5808.0,M,8014.0,F
7780-274562-0043_374-180298-0051,7780.0,F,374.0,M
4214-7146-0047_3436-172162-0001,4214.0,F,3436.0,M
1737-142397-0009_4406-16883-0056,1737.0,F,4406.0,M
2002-139469-0107_458-126290-0017,2002.0,M,458.0,M
8123-275216-0009_1743-142912-0005,8123.0,F,1743.0,M
6529-62556-0038_1963-142393-0002,6529.0,M,1963.0,F
2893-139310-0012_4014-186176-0002,2893.0,M,4014.0,M
4813-248638-0033_332-128985-0028,4813.0,M,332.0,M
5339-14134-0032_248-130697-0030,5339.0,F,248.0,F
4137-11701-0002_8324-286683-0033,4137.0,F,8324.0,F
669-129061-0074_7078-271888-0012,669.0,F,7078.0,F
1069-133709-0026_1723-141149-0045,1069.0,F,1723.0,M
40-222-0042_5463-39174-0028,40.0,F,5463.0,M
4340-15220-0050_7264-92310-0020,4340.0,F,7264.0,M
5561-41615-0008_2182-150130-0017,5561.0,F,2182.0,F
887-123289-0001_332-128985-0012,887.0,F,332.0,M
2893-139322-0052_6818-76332-0022,2893.0,M,6818.0,F
3723-171631-0040_2416-152137-0030,3723.0,M,2416.0,F
8088-284756-0020_4018-107312-0026,8088.0,M,4018.0,M
2764-36617-0009_4088-158077-0029,2764.0,F,4088.0,F
19-227-0070_1235-135884-0025,19.0,F,1235.0,M
229-130880-0071_6078-54013-0013,229.0,M,6078.0,F
3879-174923-0043_254-27760-0022,3879.0,F,254.0,M
118-121721-0023_250-142276-0050,118.0,M,250.0,F
8108-274318-0017_3259-158083-0047,8108.0,M,3259.0,F
3947-13262-0002_1455-134435-0002,3947.0,F,1455.0,M
4340-15220-0030_8425-292520-0026,4340.0,F,8425.0,M
6880-216547-0107_7780-274562-0088,6880.0,M,7780.0,F
4267-78186-0035_1355-39947-0064,4267.0,M,1355.0,M
8063-274117-0015_3112-9554-0013,8063.0,M,3112.0,F
3699-47246-0025_2159-179154-0036,3699.0,M,2159.0,M
1578-140045-0002_4898-28461-0023,1578.0,F,4898.0,M
4051-11217-0025_3879-174923-0018,4051.0,F,3879.0,F
7113-86041-0031_8098-275181-0030,7113.0,F,8098.0,M
89-219-0002_2289-152258-0020,89.0,F,2289.0,M
1502-122619-0088_2911-12359-0000,1502.0,F,2911.0,M
3699-19401-0002_7367-86737-0029,3699.0,M,7367.0,M
6147-34605-0027_4680-16041-0026,6147.0,F,4680.0,F
