mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,noise_path,noise_gain
7059-77897-0003_412-126975-0062_211-122425-0020,train-clean-100\7059\77897\7059-77897-0003.flac,0.6898270141986703,train-clean-100\412\126975\412-126975-0062.flac,0.3408717486453574,train-clean-100\211\122425\211-122425-0020.flac,1.2562925638771705,tr\01do0314_0.077681_20po010j_-0.077681.wav,0.5899417380865967
289-121652-0014_5456-62043-0037_5778-12761-0003,train-clean-100\289\121652\289-121652-0014.flac,0.7513244194311675,train-clean-100\5456\62043\5456-62043-0037.flac,0.5197997700933549,train-clean-100\5778\12761\5778-12761-0003.flac,0.8204713399673488,tr\012c020h_1.7481_20uo010b_-1.7481.wav,0.544147671070992
89-219-0000_3112-9554-0013_4137-11702-0014,train-clean-100\89\219\89-219-0000.flac,0.4414864807792396,train-clean-100\3112\9554\3112-9554-0013.flac,0.586604117185467,train-clean-100\4137\11702\4137-11702-0014.flac,0.6669534460399452,tr\01zo031e_0.87678_208o010r_-0.87678.wav,1.0295957322754457
6531-61334-0042_4214-7146-0001_8609-262281-0039,train-clean-100\6531\61334\6531-61334-0042.flac,0.5771853328532666,train-clean-100\4214\7146\4214-7146-0001.flac,1.0120618349436028,train-clean-100\8609\262281\8609-262281-0039.flac,0.3539681342991287,tr\01bc0206_1.1431_01yc020k_-1.1431.wav,2.5518324227680336
6836-61804-0027_7190-90543-0031_1355-39947-0069,train-clean-100\6836\61804\6836-61804-0027.flac,0.4773739836789353,train-clean-100\7190\90543\7190-90543-0031.flac,0.6267351515609733,train-clean-100\1355\39947\1355-39947-0069.flac,0.776087372433688,tr\20so010d_0.14797_40ao030f_-0.14797.wav,2.819850695647978
6836-76549-0031_8098-278252-0003_5163-39921-0019,train-clean-100\6836\76549\6836-76549-0031.flac,0.2987613070247326,train-clean-100\8098\278252\8098-278252-0003.flac,0.5721750235886729,train-clean-100\5163\39921\5163-39921-0019.flac,0.7582222173276119,tr\01ko030g_1.9015_020o030i_-1.9015.wav,5.562011288933708
5393-19218-0059_39-121914-0035_1743-142913-0002,train-clean-100\5393\19218\5393-19218-0059.flac,0.4100539364552675,train-clean-100\39\121914\39-121914-0035.flac,0.8031275270910071,train-clean-100\1743\142913\1743-142913-0002.flac,0.8119360282896861,tr\01bo0302_1.1415_40mo031b_-1.1415.wav,0.7780082799584127
229-130880-0078_40-121026-0028_7447-91187-0031,train-clean-100\229\130880\229-130880-0078.flac,0.4946094818871006,train-clean-100\40\121026\40-121026-0028.flac,0.7912710894645759,train-clean-100\7447\91187\7447-91187-0031.flac,0.7888326534225399,tr\20ro010h_0.87631_01da010t_-0.87631.wav,3.2384469236014253
3983-5371-0045_8629-261139-0016_103-1241-0013,train-clean-100\3983\5371\3983-5371-0045.flac,0.8855782774991967,train-clean-100\8629\261139\8629-261139-0016.flac,1.1222236164636172,train-clean-100\103\1241\103-1241-0013.flac,1.5998992836398442,tr\205o0105_1.8704_01bo0304_-1.8704.wav,4.131779652202511
7859-102518-0019_1334-135589-0019_1743-142914-0001,train-clean-100\7859\102518\7859-102518-0019.flac,0.5878064062611162,train-clean-100\1334\135589\1334-135589-0019.flac,0.4678129498666055,train-clean-100\1743\142914\1743-142914-0001.flac,0.8291431189394438,tr\025o030c_2.1344_20ba010l_-2.1344.wav,2.422470092160665
118-47824-0051_5456-58161-0011_6064-56168-0011,train-clean-100\118\47824\118-47824-0051.flac,0.8230634380725519,train-clean-100\5456\58161\5456-58161-0011.flac,0.3656855251227281,train-clean-100\6064\56168\6064-56168-0011.flac,0.4592493131521385,tr\40pa010s_1.5675_20lo0103_-1.5675.wav,1.3985034274831991
3807-4923-0033_696-93314-0065_198-126831-0000,train-clean-100\3807\4923\3807-4923-0033.flac,0.2279313086378319,train-clean-100\696\93314\696-93314-0065.flac,0.4079467963486277,train-clean-100\198\126831\198-126831-0000.flac,1.6527674329736155,tr\20ro0102_0.050992_20mo0101_-0.050992.wav,1.0701137715157147
