mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
7059-77897-0003_412-126975-0062_211-122425-0020,7059.0,F,412.0,M,211.0,F
289-121652-0014_5456-62043-0037_5778-12761-0003,289.0,F,5456.0,M,5778.0,F
89-219-0000_3112-9554-0013_4137-11702-0014,89.0,F,3112.0,F,4137.0,F
6531-61334-0042_4214-7146-0001_8609-262281-0039,6531.0,F,4214.0,F,8609.0,M
6836-61804-0027_7190-90543-0031_1355-39947-0069,6836.0,M,7190.0,M,1355.0,M
6836-76549-0031_8098-278252-0003_5163-39921-0019,6836.0,M,8098.0,M,5163.0,F
5393-19218-0059_39-121914-0035_1743-142913-0002,5393.0,F,39.0,F,1743.0,M
229-130880-0078_40-121026-0028_7447-91187-0031,229.0,M,40.0,F,7447.0,M
3983-5371-0045_8629-261139-0016_103-1241-0013,3983.0,F,8629.0,M,103.0,F
7859-102518-0019_1334-135589-0019_1743-142914-0001,7859.0,F,1334.0,M,1743.0,M
118-47824-0051_5456-58161-0011_6064-56168-0011,118.0,M,5456.0,M,6064.0,F
3807-4923-0033_696-93314-0065_198-126831-0000,3807.0,M,696.0,F,198.0,F
3607-135982-0035_5163-18515-0042_8324-286681-0008,3607.0,M,5163.0,F,8324.0,F
83-3054-0018_3607-135982-0001_1723-141149-0048,83.0,F,3607.0,M,1723.0,M
4397-15668-0016_8014-280382-0003_1263-141777-0024,4397.0,M,8014.0,F,1263.0,F
2836-5355-0031_5322-7679-0027_4788-91208-0001,2836.0,F,5322.0,M,4788.0,M
441-128988-0011_5322-7680-0015_1246-124548-0034,441.0,F,5322.0,M,1246.0,F
8238-274553-0053_328-129766-0082_426-122819-0000,8238.0,F,328.0,F,426.0,F
5463-39174-0045_1970-28415-0026_4813-248638-0038,5463.0,M,1970.0,F,4813.0,M
163-122947-0076_6415-116629-0004_7800-283493-0011,163.0,M,6415.0,F,7800.0,F
7367-86737-0049_7447-91186-0023_2391-145015-0092,7367.0,M,7447.0,M,2391.0,F
5322-7678-0039_3242-8112-0032_4160-14187-0021,5322.0,M,3242.0,M,4160.0,F
1355-39947-0063_1334-135589-0006_5750-100289-0076,1355.0,M,1334.0,M,5750.0,M
233-134440-0037_1263-139804-0013_6000-55211-0031,233.0,M,1263.0,F,6000.0,F
4267-287369-0001_5688-15787-0024_8312-279790-0034,4267.0,M,5688.0,F,8312.0,F
6078-54013-0041_6209-34599-0010_1898-145715-0043,6078.0,F,6209.0,M,1898.0,F
6209-34600-0010_7800-283478-0007_5703-47198-0026,6209.0,M,7800.0,F,5703.0,M
3664-178355-0029_7402-59171-0014_5652-19215-0018,3664.0,M,7402.0,M,5652.0,F
5463-39173-0039_8123-275193-0000_2910-131096-0082,5463.0,M,8123.0,F,2910.0,F
163-122947-0088_8108-274318-0012_7800-283492-0027,163.0,M,8108.0,M,7800.0,F
26-496-0024_6147-34606-0002_2836-5355-0052,26.0,M,6147.0,F,2836.0,F
2691-156750-0012_2989-138035-0078_405-130894-0061,2691.0,F,2989.0,F,405.0,M
730-359-0006_1841-179183-0029_3374-298032-0028,730.0,F,1841.0,F,3374.0,M
446-123502-0034_6836-61803-0037_1898-145715-0009,446.0,M,6836.0,M,1898.0,F
7178-34644-0071_1578-140045-0005_6818-68772-0021,7178.0,F,1578.0,F,6818.0,F
426-122821-0021_374-180299-0015_322-124147-0046,426.0,F,374.0,M,322.0,F
7780-274562-0005_1263-141777-0040_1737-142397-0009,7780.0,F,1263.0,F,1737.0,F
3436-172171-0039_254-145458-0017_4340-15220-0022,3436.0,M,254.0,M,4340.0,F
405-130894-0065_2691-156745-0013_7402-90848-0023,405.0,M,2691.0,F,7402.0,M
8465-246947-0019_78-368-0034_4018-107312-0033,8465.0,F,78.0,M,4018.0,M
374-180298-0047_4160-14187-0024_2952-410-0015,374.0,M,4160.0,F,2952.0,M
3879-173592-0001_4051-11217-0030_332-128985-0057,3879.0,F,4051.0,F,332.0,M
6848-252322-0004_887-123289-0014_2817-142380-0028,6848.0,M,887.0,F,2817.0,F
6818-76332-0024_8051-295385-0011_1098-133695-0050,6818.0,F,8051.0,F,1098.0,F
8425-287387-0004_6385-220959-0015_730-360-0038,8425.0,M,6385.0,F,730.0,F
248-130697-0034_39-121914-0000_7264-92310-0012,248.0,F,39.0,F,7264.0,M
8123-275216-0001_4051-11218-0030_211-122425-0005,8123.0,F,4051.0,F,211.0,F
730-359-0001_8014-112586-0020_6454-107462-0014,730.0,F,8014.0,F,6454.0,M
7505-258964-0003_4898-28461-0061_1992-141719-0020,7505.0,M,4898.0,M,1992.0,F
5322-7680-0031_5789-70653-0010_3259-158083-0011,5322.0,M,5789.0,F,3259.0,F
7517-100442-0004_1088-134315-0049_730-359-0017,7517.0,F,1088.0,F,730.0,F
200-124140-0012_2007-149877-0018_6415-100596-0021,200.0,F,2007.0,F,6415.0,F
458-126305-0018_6367-65536-0004_87-121553-0041,458.0,M,6367.0,M,87.0,F
911-128684-0004_3857-182315-0000_4481-17498-0024,911.0,M,3857.0,M,4481.0,F
5750-100289-0037_6078-54013-0006_6019-3185-0072,5750.0,M,6078.0,F,6019.0,M
6818-76332-0016_7059-77897-0009_163-122947-0013,6818.0,F,7059.0,F,163.0,M
5456-24741-0023_7367-86737-0060_7794-295955-0029,5456.0,M,7367.0,M,7794.0,F
7190-90542-0014_8226-274369-0042_7148-7763-0016,7190.0,M,8226.0,M,7148.0,F
200-124139-0008_2182-150130-0022_289-121652-0004,200.0,F,2182.0,F,289.0,F
6529-62554-0053_1098-133695-0000_4051-11217-0012,6529.0,M,1098.0,F,4051.0,F
1040-133433-0080_7402-59171-0025_3879-174923-0000,1040.0,M,7402.0,M,3879.0,F
4640-19189-0011_887-123290-0008_1898-145724-0032,4640.0,F,887.0,F,1898.0,F
233-155990-0006_3879-174923-0032_8098-278252-0034,233.0,M,3879.0,F,8098.0,M
2836-5355-0043_2182-181183-0027_5750-100289-0023,2836.0,F,2182.0,F,5750.0,M
403-216-0022_1502-122615-0017_5514-19192-0031,403.0,F,1502.0,F,5514.0,F
298-126790-0003_8312-279791-0038_39-121915-0025,298.0,F,8312.0,F,39.0,F
2952-407-0005_3857-182315-0012_7148-59157-0015,2952.0,M,3857.0,M,7148.0,F
5808-48608-0056_446-123502-0027_1926-143879-0027,5808.0,M,446.0,M,1926.0,F
481-123720-0077_2007-149877-0035_2514-149482-0023,481.0,M,2007.0,F,2514.0,M
5688-41232-0030_3440-171009-0064_2989-138035-0015,5688.0,F,3440.0,F,2989.0,F
1553-140047-0005_441-130108-0024_3440-171006-0008,1553.0,F,441.0,F,3440.0,F
8465-246947-0017_426-122819-0004_4406-16883-0038,8465.0,F,426.0,F,4406.0,M
1898-145715-0003_1963-142393-0057_5104-33407-0008,1898.0,F,1963.0,F,5104.0,M
1502-122619-0073_2836-5355-0018_2764-36617-0029,1502.0,F,2836.0,F,2764.0,F
3830-12535-0013_2196-170379-0002_3259-158083-0066,3830.0,M,2196.0,F,3259.0,F
26-495-0036_4441-76263-0014_7402-90848-0035,26.0,M,4441.0,M,7402.0,M
8419-293473-0010_911-130578-0009_2416-152139-0043,8419.0,M,911.0,M,2416.0,F
211-122442-0032_2196-170379-0013_198-126831-0010,211.0,F,2196.0,F,198.0,F
332-128985-0086_7794-295947-0043_7402-90848-0003,332.0,M,7794.0,F,7402.0,M
7226-86965-0012_2514-149482-0061_8580-287363-0024,7226.0,M,2514.0,M,8580.0,M
5322-7678-0008_7148-82991-0026_2007-149877-0003,5322.0,M,7148.0,F,2007.0,F
1040-133433-0017_4014-186183-0011_8580-287363-0018,1040.0,M,4014.0,M,8580.0,M
2911-15045-0001_3830-12531-0031_8797-294123-0009,2911.0,M,3830.0,M,8797.0,M
3607-29116-0023_374-180298-0016_887-123289-0010,3607.0,M,374.0,M,887.0,F
2384-152900-0013_7113-86041-0024_1081-125237-0064,2384.0,M,7113.0,F,1081.0,M
196-122159-0017_6081-41998-0018_2196-170151-0021,196.0,M,6081.0,M,2196.0,F
250-142286-0023_831-130739-0000_254-127705-0029,250.0,F,831.0,M,254.0,M
298-126791-0038_6925-80680-0063_8312-279791-0003,298.0,F,6925.0,M,8312.0,F
5163-18515-0011_6848-76049-0014_7367-86737-0045,5163.0,F,6848.0,M,7367.0,M
460-172359-0000_1116-132851-0007_481-123720-0068,460.0,M,1116.0,F,481.0,M
831-130739-0023_2007-149877-0015_887-123289-0029,831.0,M,2007.0,F,887.0,F
5104-33406-0028_3879-174923-0058_5390-24512-0023,5104.0,M,3879.0,F,5390.0,M
